sample_id,canonical_image_path,canonical_label_path,source_dataset,original_image_path,original_label_path,original_filename,sha256,perceptual_hash,width,height,has_fire,has_smoke,fire_box_count,smoke_box_count,is_negative,group_id,scene_id,video_id,license_status,split,excluded,exclusion_reason
dfire_AoF06723_3eb16b635a00,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/images/dfire_AoF06723_3eb16b635a00.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/labels/dfire_AoF06723_3eb16b635a00.txt,dfire,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/images/AoF06723.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/labels/AoF06723.txt,AoF06723.jpg,3eb16b635a007bdd6353e7219cae149a7da2f05153b2bbae4dbaae2ac360fa46,e5dd83928a2c3575,1280,720,False,False,0,0,True,images:aof06723,,,CC0-1.0,,False,
dfire_AoF06724_3d575c00fa66,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/images/dfire_AoF06724_3d575c00fa66.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/labels/dfire_AoF06724_3d575c00fa66.txt,dfire,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/images/AoF06724.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/labels/AoF06724.txt,AoF06724.jpg,3d575c00fa660b59febf3f7c748b6583ac338171b0b5db0e9d84ea6aa22ccd9e,c7f8831313a6fc31,1270,685,False,False,0,0,True,images:aof06724,,,CC0-1.0,,False,
dfire_AoF06725_6143934eb0bf,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/images/dfire_AoF06725_6143934eb0bf.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/labels/dfire_AoF06725_6143934eb0bf.txt,dfire,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/images/AoF06725.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/labels/AoF06725.txt,AoF06725.jpg,6143934eb0bfb7b66f6f171d3087d57615d78135c0b48316db53a49064a6ff49,cfac810362a6fc3d,1267,702,False,False,0,0,True,images:aof06725,,,CC0-1.0,,False,
dfire_AoF06726_abc09c6dd90c,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/images/dfire_AoF06726_abc09c6dd90c.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/labels/dfire_AoF06726_abc09c6dd90c.txt,dfire,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/images/AoF06726.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/labels/AoF06726.txt,AoF06726.jpg,abc09c6dd90c7bd244e5f8bffd9980088a269e365b581dc0d4fd1d5c905c7de4,dfa983833135784d,1278,712,False,False,0,0,True,images:aof06726,,,CC0-1.0,,False,
dfire_AoF06727_329dcbc630fe,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/images/dfire_AoF06727_329dcbc630fe.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/labels/dfire_AoF06727_329dcbc630fe.txt,dfire,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/images/AoF06727.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/labels/AoF06727.txt,AoF06727.jpg,329dcbc630fe1718c567a7e01bbfea9a8faadf7bbe6f725bd1d407dca99a5c43,8b9d95c2c4276c79,1276,717,False,False,0,0,True,images:aof06727,,,CC0-1.0,,False,
dfire_AoF06728_7dca1ff6adab,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/images/dfire_AoF06728_7dca1ff6adab.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/labels/dfire_AoF06728_7dca1ff6adab.txt,dfire,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/images/AoF06728.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/labels/AoF06728.txt,AoF06728.jpg,7dca1ff6adab6a4a1a579c8729a410d1160e7b7a9c5d9de9f04102d6a7cfd33f,9595cb8a8b063e3d,800,450,False,False,0,0,True,images:aof06728,,,CC0-1.0,,False,
dfire_AoF06729_dd47da8fe519,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/images/dfire_AoF06729_dd47da8fe519.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/labels/dfire_AoF06729_dd47da8fe519.txt,dfire,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/images/AoF06729.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/labels/AoF06729.txt,AoF06729.jpg,dd47da8fe519a9841165f14cd781eac067a9a4c7e62d4650dcb3f96cebaaecb7,c0c0be9e96537f28,800,450,False,False,0,0,True,images:aof06729,,,CC0-1.0,,False,
dfire_AoF06730_5d6ee9a299af,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/images/dfire_AoF06730_5d6ee9a299af.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/labels/dfire_AoF06730_5d6ee9a299af.txt,dfire,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/images/AoF06730.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/labels/AoF06730.txt,AoF06730.jpg,5d6ee9a299afa2891f637f279cfcaed15efe7dbd08f7351163397f616dacfde5,95ebea67410632bc,800,450,False,False,0,0,True,images:aof06730,,,CC0-1.0,,False,
dfire_AoF06731_5fce393d298f,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/images/dfire_AoF06731_5fce393d298f.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/labels/dfire_AoF06731_5fce393d298f.txt,dfire,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/images/AoF06731.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/labels/AoF06731.txt,AoF06731.jpg,5fce393d298f7f45709fe709aa6a7b55916521be97ee0feb5cd330695655f883,82fd872a430774dd,800,450,False,False,0,0,True,images:aof06731,,,CC0-1.0,,False,
dfire_AoF06732_a2be8cfb9f21,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/images/dfire_AoF06732_a2be8cfb9f21.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/processed/canonical/dfire/labels/dfire_AoF06732_a2be8cfb9f21.txt,dfire,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/images/AoF06732.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/dfire/presplit/kaggle_splits/test/labels/AoF06732.txt,AoF06732.jpg,a2be8cfb9f21f5b5ca6b6a27e6662b4f5e228063497611cf8f776dbdddfcf615,9691ebc583072b7c,800,450,False,False,0,0,True,images:aof06732,,,CC0-1.0,,False,
