sample_id,image_path,label_path,width,height,status,split_original,is_negative,has_fire,has_smoke,class_ids,class_names,annotation_valid,sha256,perceptual_hash,data_origin,license_status,provenance_status,included,exclusion_reason
libreyolo_train_frame_000000-5_jpg.rf.f862bd0655270a937687c10636070424,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/images/frame_000000-5_jpg.rf.f862bd0655270a937687c10636070424.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/labels/frame_000000-5_jpg.rf.f862bd0655270a937687c10636070424.txt,640,640,VALID_SMOKE,train,False,False,True,0,smoke,True,763367145c01e65f5a401769237b24c14f71307671cf80df64eaa29ccfa091fe,0707000707ffffff,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
libreyolo_train_frame_000000_jpg.rf.3bbe473cb255eeb29be3df85edb5f9a7,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/images/frame_000000_jpg.rf.3bbe473cb255eeb29be3df85edb5f9a7.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/labels/frame_000000_jpg.rf.3bbe473cb255eeb29be3df85edb5f9a7.txt,640,640,VALID_SMOKE,train,False,False,True,0,smoke,True,b391da6e8a5eac379065990f309986ada0d34754019c28cd8437e8a3cb5e3b96,fffc3e1c1918c080,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
libreyolo_train_frame_000001-1_jpg.rf.5497b85cfb5164c37c4ac70334f1e808,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/images/frame_000001-1_jpg.rf.5497b85cfb5164c37c4ac70334f1e808.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/labels/frame_000001-1_jpg.rf.5497b85cfb5164c37c4ac70334f1e808.txt,640,640,VALID_SMOKE,train,False,False,True,0,smoke,True,5d1ff7fbbb92332dd458d23ba2a232689bbf0d029ccac2fbd5ed0e894eaf7a7d,8dc83818c0f8ffff,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
libreyolo_train_frame_000001-2_jpg.rf.8b9d13e5c931dcf7b5049986a9b4714e,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/images/frame_000001-2_jpg.rf.8b9d13e5c931dcf7b5049986a9b4714e.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/labels/frame_000001-2_jpg.rf.8b9d13e5c931dcf7b5049986a9b4714e.txt,640,640,VALID_SMOKE,train,False,False,True,0,smoke,True,32bf85ad1d915e67806494fe21efb868e9e45a3485382a1861705dde22f4a7da,2100c00107bfffff,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
libreyolo_train_frame_000002-1_jpg.rf.05217759fb36a2b1877807dd784f3a9f,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/images/frame_000002-1_jpg.rf.05217759fb36a2b1877807dd784f3a9f.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/labels/frame_000002-1_jpg.rf.05217759fb36a2b1877807dd784f3a9f.txt,640,640,VALID_SMOKE,train,False,False,True,0,smoke,True,256cd3c621e3ef95fcebe71e96b64d2643c653e3027758dfb8e4c89f552b3048,8dc83818c0f8ffff,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
libreyolo_train_frame_000005-1_jpg.rf.2a9db18c06e461d3aa5c456bf39b7d32,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/images/frame_000005-1_jpg.rf.2a9db18c06e461d3aa5c456bf39b7d32.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/labels/frame_000005-1_jpg.rf.2a9db18c06e461d3aa5c456bf39b7d32.txt,640,640,VALID_SMOKE,train,False,False,True,0,smoke,True,94ca46e348c3e2167fd7bf40a94ab046b6569695e70051e152954286f8919ef6,8dc83018c0f8ffff,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
libreyolo_train_frame_000005-2_jpg.rf.b3aaa1426241f4ac7679561ba376baca,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/images/frame_000005-2_jpg.rf.b3aaa1426241f4ac7679561ba376baca.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/labels/frame_000005-2_jpg.rf.b3aaa1426241f4ac7679561ba376baca.txt,640,640,VALID_SMOKE,train,False,False,True,0,smoke,True,fa12d2f5d76aeb34dcbb05bdf7ce56fbe4362c9e804a2cc4f693919a9d76f5fe,2101c08107bfffff,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
libreyolo_train_frame_000005-5_jpg.rf.0d001bd892e3088b9a96e8cfe7194e73,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/images/frame_000005-5_jpg.rf.0d001bd892e3088b9a96e8cfe7194e73.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/labels/frame_000005-5_jpg.rf.0d001bd892e3088b9a96e8cfe7194e73.txt,640,640,VALID_SMOKE,train,False,False,True,0,smoke,True,cecb23140ee1dd6006cbfaa67003212b010763211c046c77182395a9108224b4,8707000707ffffff,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
libreyolo_train_frame_000005_jpg.rf.0b937dbc91a1065fa90c22d759ca6f59,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/images/frame_000005_jpg.rf.0b937dbc91a1065fa90c22d759ca6f59.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/labels/frame_000005_jpg.rf.0b937dbc91a1065fa90c22d759ca6f59.txt,640,640,VALID_SMOKE,train,False,False,True,0,smoke,True,869e5561800d3aa3cdb9814766735da4dfef374546bcf66ee8d0f2f6d12686b1,fffc3c1c1c98c0c0,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
libreyolo_train_frame_000006-1_jpg.rf.3dd5bbc3ceeea3bf459083143450873a,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/images/frame_000006-1_jpg.rf.3dd5bbc3ceeea3bf459083143450873a.jpg,/Users/mobcoderid-296/Desktop/fire-smoke/fire-smoke-cpu/data/raw/hf_candidates/LibreYOLO_smoke-uvylj_hf_snapshot/train/labels/frame_000006-1_jpg.rf.3dd5bbc3ceeea3bf459083143450873a.txt,640,640,VALID_SMOKE,train,False,False,True,0,smoke,True,9c66778bce03bd25a24c6cbc83c988732b8c113d0aa64a22c52e45969b604c35,8dc82018c0f8ffff,huggingface_snapshot,pending_review,hf_snapshot_revision_recorded,True,
